date,ind,rain,ind,maxt,ind,mint,gmin,soil
19-Aug-42,0,0.3, , , , , , 
20-Aug-42,0,0.2, , , , , , 
21-Aug-42,4,0, , , , , , 
22-Aug-42,4,0, , , , , , 
23-Aug-42,0,0, , , , , , 
24-Aug-42,0,22.4, , , , , , 
25-Aug-42,0,0.9, , , , , , 
26-Aug-42,4,0, , , , , , 
27-Aug-42,0,0, , , , , , 
28-Aug-42,0,0, , , , , , 
29-Aug-42,0,4.3, , , , , , 
30-Aug-42,0,2.8, , , , , , 
31-Aug-42,0,0, , , , , , 
01-Sep-42,0,0.3, , , , , , 
02-Sep-42,0,1.8, , , , , , 
03-Sep-42,0,0.2, , , , , , 
04-Sep-42,0,7.4, , , , , , 
05-Sep-42,0,0, , , , , , 
06-Sep-42,0,0.5, , , , , , 
07-Sep-42,0,0, , , , , , 
08-Sep-42,0,0, , , , , , 
09-Sep-42,4,0, , , , , , 
10-Sep-42,0,0, , , , , , 
11-Sep-42,0,0, , , , , , 
12-Sep-42,0,0, , , , , , 
13-Sep-42,0,0, , , , , , 
14-Sep-42,0,0.5, , , , , , 
15-Sep-42,0,0, , , , , , 
16-Sep-42,0,0, , , , , , 
17-Sep-42,0,0, , , , , , 
18-Sep-42,0,7.1, , , , , , 
19-Sep-42,0,16.3, , , , , , 
20-Sep-42,0,5.2, , , , , , 
21-Sep-42,0,1.3, , , , , , 
22-Sep-42,0,0.8, , , , , , 
23-Sep-42,0,8.4, , , , , , 
24-Sep-42,0,0.8, , , , , , 
25-Sep-42,0,4.3, , , , , , 
26-Sep-42,0,0, , , , , , 
27-Sep-42,0,5.7, , , , , , 
28-Sep-42,0,24.4, , , , , , 
29-Sep-42,0,12.9, , , , , , 
30-Sep-42,0,0.5, , , , , , 
01-Oct-42,0,0, , , , , , 
02-Oct-42,0,0, , , , , , 
03-Oct-42,0,0, , , , , , 
04-Oct-42,0,2.2, , , , , , 
05-Oct-42,0,0, , , , , , 
06-Oct-42,0,0, , , , , , 
07-Oct-42,0,0.3, , , , , , 
08-Oct-42,0,0.6, , , , , , 
09-Oct-42,0,2.8, , , , , , 
10-Oct-42,4,0, , , , , , 
11-Oct-42,0,0, , , , , , 
12-Oct-42,4,0, , , , , , 
13-Oct-42,0,2, , , , , , 
14-Oct-42,0,0.9, , , , , , 
15-Oct-42,0,0.2, , , , , , 
16-Oct-42,0,0.4, , , , , , 
17-Oct-42,4,0, , , , , , 
18-Oct-42,4,0, , , , , , 
19-Oct-42,0,0.6, , , , , , 
20-Oct-42,0,0.2, , , , , , 
21-Oct-42,0,3.2, , , , , , 
22-Oct-42,0,1.5, , , , , , 
23-Oct-42,0,6, , , , , , 
